arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
2625186,10455581,1,0004553,2000-02-21 00:00:00,1,N,40,5,18,M,1,2,N,,,,,
2625501,10456787,1,0018635,2000-07-29 00:00:00,1,N,39,5,46,M,1,2,N,,,,,
2625218,10455676,1,0005835,2000-03-05 00:00:00,1,N,39,5,15,M,1,2,R,H,,,,
2625193,10455595,1,0004661,2000-02-22 00:00:00,1,N,39,5,47,M,1,2,R,,,,,
2625625,10457668,1,202681,2000-06-30 00:00:00,3,N,39,5,22,M,2,2,R,,,,,
2625592,10457313,1,201259,2000-04-03 00:00:00,3,N,39,5,18,M,2,2,R,,,,,
2625342,10456114,1,0011406,2000-05-01 00:00:00,3,N,39,5,34,F,2,2,N,,,,,
2625607,10457499,1,202095,2000-05-23 00:00:00,3,N,39,5,27,M,1,3,R,,,,,
2625578,10457202,1,200878,2000-03-08 00:00:00,3,N,39,5,19,M,1,3,R,,,,,
2625570,10457128,1,200513,2000-02-09 00:00:00,3,N,39,5,21,F,1,3,R,,,,,
2625510,10456843,7,0019169,2000-08-04 00:00:00,3,N,39,5,20,F,1,2,N,,,,,
2625504,10456801,1,0018784,2000-07-31 00:00:00,3,N,39,5,29,M,1,2,R,,,,,
2625494,10456767,1,0018475,2000-07-27 00:00:00,3,N,39,5,19,M,1,2,R,,,,,
2625332,10456076,1,0010980,2000-04-26 00:00:00,3,N,39,5,24,M,1,2,R,,,,,
2625173,10455546,1,0003969,2000-02-15 00:00:00,3,N,39,5,34,M,1,2,N,,,,,
2625171,10455540,1,0003893,2000-02-14 00:00:00,3,N,39,5,40,M,1,2,N,,,,,
2625138,10455438,2,0000361,2000-01-04 00:00:00,3,N,39,5,36,M,1,2,N,,,,,
2625350,10456142,1,0011598,2000-05-03 00:00:00,3,N,39,5,21,M,1,2,R,,,,,
2625331,10456074,1,0010951,2000-04-26 00:00:00,2,N,16,5,17,M,1,2,N,R,,,,
2625324,10456031,2,0010312,2000-04-19 00:00:00,2,N,16,5,13,F,1,2,R,H,,,,
2625289,10455892,1,0008667,2000-03-31 00:00:00,3,N,16,5,23,M,1,1,N,,,,,
2625377,10456235,1,0012560,2000-05-15 00:00:00,3,N,16,5,33,M,1,1,N,,,,,
2625305,10455942,1,0009265,2000-04-07 00:00:00,3,N,16,5,29,M,2,2,R,,,,,
2625221,10455690,1,0006018,2000-03-06 00:00:00,3,N,16,5,17,M,2,2,R,R,,,,
2625167,10455500,1,0003309,2000-02-08 00:00:00,3,N,16,5,30,M,2,2,R,,,,,
2625154,10455455,1,0001907,2000-01-22 00:00:00,3,N,16,5,27,M,2,2,R,,,,,
2625152,10455452,1,0001506,2000-01-18 00:00:00,3,N,16,5,25,M,2,2,R,,,,,
2625148,10455448,1,0000954,2000-01-11 00:00:00,3,N,16,5,51,M,2,2,N,,,,,
2625146,10455446,1,0000795,2000-01-10 00:00:00,3,N,16,5,29,M,2,2,N,,,,,
2625143,10455443,1,0000636,2000-01-08 00:00:00,3,N,16,5,37,M,2,2,R,,,,,
2625139,10455439,1,0000395,2000-01-05 00:00:00,3,N,16,5,39,M,2,2,R,,,,,
2625439,10456473,1,0015269,2000-06-17 00:00:00,1,N,16,5,23,M,2,2,R,,,,,
2625584,10457256,2,201048,2000-03-21 00:00:00,3,N,49,5,16,M,1,3,N,R,,,,
2625583,10457256,1,201048,2000-03-21 00:00:00,3,N,49,5,16,M,1,3,N,R,,,,
2625511,10456845,1,0019198,2000-09-12 00:00:00,1,N,49,5,32,M,1,2,R,,,,,
2625204,10455626,1,0005159,2000-09-12 00:00:00,1,N,49,5,32,M,1,2,R,,,,,
2625479,10456700,1,0017826,2000-09-12 00:00:00,1,N,49,5,32,M,1,2,R,,,,,
2625418,10456382,2,0014507,2000-06-07 00:00:00,1,N,49,5,15,M,1,2,N,H,,,,
2625206,10455628,1,0005189,2000-09-12 00:00:00,1,N,49,5,32,M,1,2,R,,,,,
2625588,10457297,1,201219,2000-06-28 00:00:00,2,N,49,5,15,F,1,2,R,R,,,,
2625495,10456772,1,0018514,2000-07-27 00:00:00,3,N,5,5,27,M,1,2,R,,,,,
2625489,10456736,1,0018202,2000-07-23 00:00:00,3,N,5,5,30,F,1,2,N,,,,,
2625337,10456087,1,0011161,2000-04-28 00:00:00,3,N,5,5,38,M,1,2,N,,,,,
2625270,10455827,1,0007902,2000-03-25 00:00:00,3,N,5,5,21,M,1,2,R,,,,,
2625477,10456694,1,0017781,2000-07-18 00:00:00,3,N,5,5,20,M,1,2,N,,,,,
2625547,10456983,1,0020711,2000-08-21 00:00:00,3,N,3,5,35,M,2,2,R,,,,,
2625411,10456356,1,0014331,2000-06-04 00:00:00,2,N,5,5,9,M,1,2,R,H,,,,
2625597,10457393,1,201620,2000-04-24 00:00:00,3,N,5,5,19,F,2,3,N,,,,,
2625274,10455834,1,0007990,2000-03-26 00:00:00,2,N,16,5,17,M,1,2,R,H,,,,
2625624,10457654,1,202642,2000-07-10 00:00:00,3,N,45,5,15,F,1,3,R,R,,,,
2625615,10457604,1,202501,2000-06-18 00:00:00,3,N,45,5,14,M,1,3,N,H,,,,
2625602,10457437,1,201812,2000-05-06 00:00:00,3,N,45,5,39,M,1,3,N,,,,,
2625601,10457436,1,201810,2000-05-05 00:00:00,3,N,45,5,34,F,1,3,N,,,,,
2625600,10457430,1,201782,2000-05-04 00:00:00,3,N,45,5,33,M,1,3,R,,,,,
2625595,10457363,2,201477,2000-04-15 00:00:00,3,N,45,5,14,M,1,3,N,H,,,,
2625594,10457363,1,201477,2000-04-15 00:00:00,3,N,45,5,15,M,1,3,N,H,,,,
2625560,10457051,1,10440,2001-02-26 00:00:00,3,N,45,5,43,M,1,3,N,,,,,
2625556,10457013,1,0021038,2000-08-25 00:00:00,3,N,44,5,12,M,1,2,R,H,,,,
2625519,10456874,1,0019535,2000-08-09 00:00:00,3,N,44,5,28,M,1,2,N,,,,,
2625277,10455848,1,0008131,2000-03-27 00:00:00,3,N,44,5,21,M,1,2,N,,,,,
2625244,10455757,1,0007068,2000-03-16 00:00:00,3,N,44,5,17,M,1,2,R,H,,,,
2625177,10455556,1,0004113,2000-07-24 00:00:00,3,N,44,5,53,M,1,2,R,,,,,
2625407,10456345,1,0014199,2000-06-03 00:00:00,3,N,44,5,29,F,1,2,R,,,,,
2625397,10456283,2,0013291,2000-05-23 00:00:00,3,N,44,5,39,M,1,2,N,,,,,
2625394,10456280,1,0013235,2000-05-23 00:00:00,3,N,44,5,13,M,1,2,R,H,,,,
2625359,10456189,1,0012001,2000-05-08 00:00:00,3,N,44,5,13,M,1,2,R,H,,,,
2625522,10456880,1,0019620,2000-07-24 00:00:00,1,N,11,5,20,F,1,2,N,,,,,
2625623,10457649,1,202622,2000-06-27 00:00:00,3,N,14,5,38,M,1,3,R,,,,,
2625553,10457006,1,0020978,2000-08-24 00:00:00,3,N,23,5,16,M,1,2,N,H,,,,
2625550,10456991,1,0020782,2000-08-22 00:00:00,3,N,23,5,89,F,1,2,R,,,,,
2625542,10456942,1,0020285,2000-08-17 00:00:00,3,N,23,5,25,M,1,2,N,,,,,
2625541,10456937,1,0020192,2000-08-16 00:00:00,3,N,23,5,46,F,1,2,N,,,,,
2625535,10456918,1,0020001,2000-08-14 00:00:00,3,N,23,5,20,M,1,2,R,,,,,
2625534,10456916,1,0019992,2000-08-14 00:00:00,3,N,23,5,15,M,1,2,N,H,,,,
2625533,10456915,1,0019991,2000-08-14 00:00:00,3,N,23,5,14,M,1,2,R,H,,,,
2625527,10456899,1,0019754,2000-08-11 00:00:00,3,N,23,5,22,F,1,2,R,,,,,
2625525,10456891,1,0019718,2000-08-11 00:00:00,3,N,23,5,15,M,1,2,R,H,,,,
2625524,10456889,1,0019647,2000-08-10 00:00:00,3,N,23,5,29,M,1,2,N,,,,,
2625523,10456886,1,0019633,2000-08-10 00:00:00,3,N,23,5,23,M,1,2,N,,,,,
2625520,10456875,1,0019561,2000-08-09 00:00:00,3,N,23,5,37,M,1,2,N,,,,,
2625508,10456836,1,0019090,2000-08-04 00:00:00,3,N,23,5,78,F,1,2,N,,,,,
2625502,10456792,2,0018686,2000-07-29 00:00:00,3,N,23,5,18,M,1,2,R,,,,,
