arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
24408148,84295051,3,26481,2016-08-09 00:00:00,3,N,45,5,59,M,1,,U,,,,59,0
24408147,84295051,1,26482,2016-08-10 00:00:00,3,N,45,5,58,M,1,,U,,,,58,0
24407677,84292605,2,23355,2015-12-29 00:00:00,2,N,29,5,16,M,1,2,U,R,,,16,0
24407675,84292605,1,23356,2015-12-29 00:00:00,2,N,29,5,16,M,2,,U,R,,,16,0
24408622,84292605,3,23353,2015-12-29 00:00:00,2,N,29,5,16,M,2,,U,R,,,16,0
22432133,78305997,1,17529,2015-01-28 00:00:00,3,N,16,5,41,M,1,,U,,,,,
26625757,91060191,1,19277,2015-05-31 00:00:00,1,N,27,5,37,M,1,,U,,,,37,0
22432139,78306029,1,18944,2015-05-02 00:00:00,3,N,16,5,48,M,1,,U,,,,,
26625750,91060173,1,20996,2015-09-18 00:00:00,1,N,16,5,50,M,2,,N,,,,50,0
22432164,78306089,1,21996,2015-12-09 00:00:00,3,N,46,5,38,M,1,,N,,,,,
22432135,78306000,1,17616,2015-02-03 00:00:00,1,N,21,5,28,F,1,,U,,,,,
26625748,91061062,1,17909,2015-02-24 00:00:00,3,C,16,5,29,M,1,,U,,,,29,0
22433093,78306098,1,20630,2015-07-31 00:00:00,2,N,56,5,13,M,1,,R,R,,,,
24407665,84292163,2,17632,2015-01-29 00:00:00,1,N,16,5,23,F,1,,R,,,,23,0
24407610,84292163,1,17631,2015-01-29 00:00:00,1,N,16,5,29,M,1,,R,,,,29,0
24407669,84292163,5,17635,2015-01-29 00:00:00,1,N,16,5,26,F,1,,U,,,,26,0
24407668,84292163,4,17634,2015-01-29 00:00:00,1,N,16,5,20,M,1,,U,,,,20,0
24407670,84292163,3,17633,2015-01-29 00:00:00,1,N,16,5,27,M,2,,U,,,,27,0
24270125,83896873,1,19763,2015-06-30 00:00:00,1,N,16,5,32,F,1,,R,,,,32,0
24270124,83896873,2,19764,2015-06-30 00:00:00,1,N,16,5,32,M,1,,R,,,,32,0
26955895,92072049,1,20546,2015-08-10 00:00:00,2,N,39,5,43,M,1,,R,,,,43,0
22433116,78307038,1,18969,2015-05-02 00:00:00,3,N,35,5,25,M,2,,N,,,,,
22433119,78307042,1,19082,2015-05-14 00:00:00,1,N,35,5,22,M,1,,N,,,,,
23978981,83078385,1,20851,2015-06-16 00:00:00,1,N,21,5,23,M,1,,R,,,,23,0
24408666,84292674,2,17480,2015-01-24 00:00:00,1,N,16,5,27,M,1,,N,,,,27,0
22433100,78306119,1,17314,2015-01-10 00:00:00,1,N,35,5,18,M,1,,R,,,,,
22433101,78306119,2,17315,2015-01-10 00:00:00,1,N,35,5,18,M,1,,R,,,,,
22433102,78306121,1,17367,2015-01-18 00:00:00,3,N,45,5,40,M,1,,U,,,,,
22433120,78307057,1,19613,2015-06-27 00:00:00,1,N,51,5,24,M,2,,N,,,,,
22433121,78307058,1,19666,2015-06-30 00:00:00,1,N,51,5,13,M,1,,R,R,,,,
24271113,83898094,1,20266,2015-08-11 00:00:00,3,N,30,5,59,M,1,2,R,,,,59,0
24271114,83898094,3,20339,2015-08-11 00:00:00,3,N,30,5,42,M,1,2,U,,,,42,0
22433105,78307014,1,18094,2015-03-06 00:00:00,1,N,16,5,21,M,1,,N,,,,,
22433108,78307019,1,18272,2015-03-17 00:00:00,1,N,35,5,18,M,1,,U,,,,,
22433110,78307022,1,18428,2015-03-25 00:00:00,3,N,35,5,45,M,1,,U,,,,,
24407709,84292677,1,18281,2015-03-18 00:00:00,1,N,16,5,34,M,1,,U,,,,34,0
24408656,84292660,1,18226,2015-03-16 00:00:00,1,N,35,5,20,M,1,,U,,,,20,0
24407697,84292651,1,18106,2015-03-07 00:00:00,1,N,35,5,19,M,1,,U,,,,19,0
24271132,83898135,1,21357,2015-10-22 00:00:00,1,N,35,5,22,M,1,,U,,,,22,0
24408659,84292667,1,17830,2015-02-17 00:00:00,1,N,35,5,23,M,1,,U,,,,23,0
22433135,78307110,1,21508,2015-11-01 00:00:00,1,N,16,5,32,M,1,,N,,,,,
22433136,78307113,1,21641,2015-11-13 00:00:00,2,N,16,5,18,M,0,,U,,,,,
22433137,78307116,1,21703,2015-11-19 00:00:00,1,N,51,5,23,M,1,,R,,,,,
22433138,78307119,1,21814,2015-11-29 00:00:00,1,N,35,5,19,M,1,,U,,,,,
22433142,78307140,1,22241,2015-12-22 00:00:00,3,N,45,5,39,F,1,,U,,,,,
22433125,78307072,1,20666,2015-08-28 00:00:00,3,N,45,5,21,F,1,,U,,,,,
22433126,78307073,1,20151,2015-08-04 00:00:00,1,N,16,5,44,F,1,,U,,,,,
24271091,83896976,1,18584,2015-04-06 00:00:00,1,N,16,5,20,F,1,,U,,,,20,0
22433115,78307032,2,18862,2015-04-22 00:00:00,1,N,35,5,30,M,1,,U,,,,,
22433114,78307032,1,18861,2015-04-22 00:00:00,1,N,16,5,66,M,1,,N,,,,,
23978972,83078366,1,20767,2015-06-24 00:00:00,3,N,21,5,38,M,1,,U,,,,38,0
24270163,83896975,1,18805,2015-04-20 00:00:00,2,N,16,5,30,M,2,,N,,,,30,0
22433139,78307129,1,22097,2015-12-13 00:00:00,1,N,39,5,25,M,0,,U,,,,,
22433145,78307144,1,22350,2015-12-28 00:00:00,1,N,27,5,51,M,1,,R,,,,,
24408679,84292727,1,20994,2015-09-07 00:00:00,3,N,27,5,43,M,1,,U,,,,43,0
22433127,78307081,1,20658,2015-09-01 00:00:00,1,N,27,5,24,M,1,,R,,,,,
22433130,78307090,1,21070,2015-09-26 00:00:00,1,N,16,5,29,M,2,,U,,,,,
22433149,78308062,1,17703,2015-02-08 00:00:00,1,N,16,5,29,M,2,,R,,,,,
22433160,78308102,1,19694,2015-06-27 00:00:00,3,N,16,5,38,M,1,,U,,,,,
22433161,78308103,1,19610,2015-06-27 00:00:00,1,N,16,5,29,M,0,,U,,,,,
22433162,78308104,1,19632,2015-06-29 00:00:00,3,N,35,5,31,M,1,,R,,,,,
23979046,83079177,1,19239,2015-05-27 00:00:00,3,N,16,5,38,M,1,,R,,,,38,0
22433158,78308091,1,19183,2015-05-21 00:00:00,3,N,16,5,27,M,1,2,U,,,,,
24408714,84292848,1,18943,2015-05-01 00:00:00,3,N,35,5,34,M,1,,R,,,,34,0
24408711,84292839,1,19085,2015-05-13 00:00:00,3,N,16,5,22,F,2,,U,,,,22,0
22433176,78308142,1,21259,2015-10-07 00:00:00,2,N,16,5,54,M,1,,U,,,,,
22433177,78308143,1,21217,2015-10-07 00:00:00,3,N,21,5,26,M,2,,R,,,,,
22433178,78308144,2,21231,2015-10-07 00:00:00,3,N,21,5,26,M,2,,R,,,,,
22433179,78308144,1,21218,2015-10-07 00:00:00,3,N,21,5,29,M,2,,R,,,,,
22433180,78308145,1,21232,2015-10-07 00:00:00,3,N,21,5,26,M,2,,R,,,,,
22433181,78308152,1,21377,2015-10-22 00:00:00,1,N,16,5,48,M,1,,R,,,,,
22433182,78308152,3,21379,2015-10-23 00:00:00,1,N,16,5,62,F,1,,R,,,,,
22433183,78308152,2,21378,2015-10-23 00:00:00,1,N,16,5,45,M,1,,R,,,,,
22433185,78308157,1,21470,2015-10-29 00:00:00,3,N,16,5,51,M,1,,R,,,,,
26624982,91061120,1,21428,2015-10-22 00:00:00,2,N,35,5,24,F,1,,U,,,,24,0
23978158,83079530,1,18304,2015-03-19 00:00:00,1,N,39,5,29,M,0,,U,,,,29,0
22433150,78308066,1,18123,2015-03-08 00:00:00,1,N,16,5,26,M,1,,R,,,,,
22433151,78308071,1,18183,2015-03-12 00:00:00,1,N,16,5,24,M,2,,R,,,,,
24535211,84661041,1,18465,2015-03-27 00:00:00,1,C,39,5,27,M,0,,N,,,,27,0
24408713,84292844,1,18478,2015-03-27 00:00:00,3,N,39,5,40,M,2,,R,,,,40,0
22433155,78308078,1,18646,2015-04-10 00:00:00,1,N,16,5,23,M,2,,R,,,,,
24407770,84292428,2,17406,2015-01-20 00:00:00,1,N,16,5,24,F,1,,R,,,,24,0
24407769,84292428,1,17405,2015-01-20 00:00:00,1,N,16,5,19,M,1,,R,,,,19,0
22433188,78308172,1,21944,2015-12-06 00:00:00,1,N,27,5,52,M,1,,U,,,,,
24407806,84292981,1,22063,2015-12-12 00:00:00,3,N,16,5,18,M,1,,U,,,,18,0
24271138,83898161,1,21968,2015-12-07 00:00:00,1,N,35,5,32,M,1,,U,,,,32,0
24408759,84293526,1,22308,2015-12-27 00:00:00,3,N,16,5,38,M,1,,U,,,,38,0
24408761,84293526,2,22309,2015-12-27 00:00:00,3,N,16,5,24,M,1,,U,,,,24,0
23979050,83079586,1,19989,2015-07-22 00:00:00,1,N,16,5,27,M,1,,R,,,,27,0
22433163,78308106,1,19721,2015-07-05 00:00:00,3,N,21,5,34,M,1,,R,,,,,
23978188,83079191,2,20038,2015-07-25 00:00:00,1,N,16,5,33,F,1,,U,,,,33,0
23979052,83079191,1,20037,2015-07-25 00:00:00,1,N,16,5,35,M,1,,U,,,,35,0
26624983,91060223,1,21691,2015-11-17 00:00:00,3,N,16,5,49,M,1,,R,,,,49,0
24695285,85117971,1,21768,2015-11-25 00:00:00,3,N,16,5,25,M,1,,N,,,,25,0
26625771,91060228,1,20963,2015-09-18 00:00:00,1,N,16,5,18,M,1,,U,,,,18,0
22433170,78308123,1,20751,2015-09-07 00:00:00,1,N,23,5,42,F,1,2,U,,,,,
22433171,78308124,1,20766,2015-09-08 00:00:00,3,N,16,5,30,M,2,,U,,,,,
22433172,78308131,1,20932,2015-09-17 00:00:00,1,N,16,5,45,M,2,,R,,,,,
22433174,78308133,1,21017,2015-09-18 00:00:00,1,N,16,5,29,F,0,,R,,,,,
24408745,84292939,1,20977,2015-08-23 00:00:00,3,N,46,5,28,M,4,,R,,,,28,0
22433168,78308118,1,20432,2015-08-23 00:00:00,1,N,16,5,40,M,2,,U,,,,,
22433169,78308120,1,20530,2015-08-21 00:00:00,3,N,35,5,27,M,1,,R,,,,,
24271108,83897026,1,20245,2015-08-11 00:00:00,3,N,35,5,21,M,1,,N,,,,21,0
24271123,83898109,1,18324,2015-03-18 00:00:00,1,N,16,5,39,M,1,,R,,,,39,0
24271124,83898111,1,18232,2015-03-15 00:00:00,1,N,35,5,36,M,1,,R,,,,36,0
24270206,83898158,1,19380,2015-06-09 00:00:00,1,N,51,5,14,F,1,3,U,R,,,14,0
24271136,83898157,1,19664,2015-06-30 00:00:00,1,N,16,5,43,F,1,3,U,,,,43,0
24271137,83898156,1,19323,2015-06-04 00:00:00,1,N,16,5,50,M,1,,U,,,,50,0
22433211,78308214,1,19074,2015-05-08 00:00:00,1,N,35,5,42,F,1,,R,,,,,
26625774,91060245,1,21588,2015-11-07 00:00:00,1,N,29,5,29,M,1,,U,,,,29,0
22433234,78309178,1,21721,2015-11-20 00:00:00,1,N,51,5,28,M,1,,R,,,,,
24407778,84292453,3,22227,2015-11-09 00:00:00,1,C,32,5,31,M,1,,U,,,,31,0
24407780,84292453,1,22234,2015-11-09 00:00:00,1,C,32,5,21,M,1,,U,,,,21,0
24407781,84292453,2,22228,2015-11-09 00:00:00,1,C,32,5,23,F,1,,U,,,,23,0
22433219,78309151,1,20363,2015-08-18 00:00:00,3,N,51,5,25,M,1,,U,,,,,
22433220,78309154,1,20445,2015-08-24 00:00:00,3,N,51,5,19,M,1,2,U,,,,,
22433226,78309157,1,20549,2015-08-26 00:00:00,1,N,51,5,36,F,1,,U,,,,,
24695694,85118686,1,20174,2015-08-06 00:00:00,1,N,16,5,27,F,2,3,N,,,,27,0
24271176,83898253,1,21305,2015-10-16 00:00:00,1,N,16,5,27,M,1,,U,,,,27,0
24408721,84292429,1,21410,2015-10-24 00:00:00,1,N,16,5,34,F,1,3,U,,,,34,0
24270183,83898089,1,17669,2015-02-04 00:00:00,1,N,16,5,48,M,1,3,R,,,,48,0
24271112,83898089,3,17671,2015-02-04 00:00:00,1,N,16,5,34,M,1,,U,,,,34,0
24271111,83898089,2,17670,2015-02-04 00:00:00,1,N,16,5,33,F,1,,R,,,,33,0
