arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
266223,1874343,1,939415,1993-05-24 00:00:00,1,N,49,5,11,M,1,3,R,R,,,,
261915,1858266,2,9343503,1993-09-06 00:00:00,1,N,49,5,14,M,1,3,R,H,,,,
261914,1858266,1,9343503,1993-09-06 00:00:00,1,N,49,5,14,M,1,3,R,H,,,,
267160,1878370,2,5462,1993-11-29 00:00:00,1,N,49,5,18,M,1,3,R,,,,,
267159,1878370,1,5462,1993-11-29 00:00:00,1,N,49,5,20,M,1,3,R,,,,,
267126,1878104,1,4931,1993-10-23 00:00:00,1,N,49,5,26,M,1,3,R,,,,,
267104,1877911,2,4435,1993-09-25 00:00:00,1,N,49,5,23,M,1,3,R,,,,,
267103,1877911,1,4435,1993-09-25 00:00:00,1,N,49,5,25,M,1,3,R,,,,,
267037,1877461,1,3469,1993-07-31 00:00:00,1,N,49,5,28,M,1,3,N,,,,,
266997,1877207,1,2975,1993-06-28 00:00:00,1,N,49,5,28,M,1,3,R,,,,,
266990,1877148,1,2841,1993-06-19 00:00:00,1,N,49,5,23,M,1,3,R,,,,,
266977,1877101,1,2750,1993-06-13 00:00:00,1,N,49,5,28,M,1,3,N,,,,,
266971,1877080,1,2709,1993-06-14 00:00:00,1,N,49,5,19,M,1,3,R,,,,,
266963,1877057,3,2675,1993-06-14 00:00:00,1,N,49,5,18,M,1,3,R,,,,,
266956,1877013,1,2553,1993-06-01 00:00:00,1,N,49,5,26,M,1,3,R,,,,,
266953,1876951,1,2443,1993-05-24 00:00:00,1,N,49,5,19,M,1,3,R,,,,,
266912,1876710,2,1949,1993-04-25 00:00:00,1,N,49,5,19,M,1,3,N,,,,,
266911,1876710,1,1949,1993-04-25 00:00:00,1,N,49,5,19,M,1,3,N,,,,,
263233,1862672,2,9313276,1993-07-11 00:00:00,1,N,49,5,17,M,1,3,R,R,,,,
265345,1870965,1,934000,1993-03-06 00:00:00,1,N,49,5,26,M,1,3,R,,,,,
264241,1866629,2,9319707,1993-10-05 00:00:00,1,N,49,5,14,M,1,3,R,R,,,,
264240,1866629,1,9319707,1993-10-05 00:00:00,1,N,49,5,16,M,1,3,R,R,,,,
264229,1866594,2,9319642,1993-10-05 00:00:00,1,N,49,5,14,M,1,3,R,R,,,,
264228,1866594,1,9319642,1993-10-05 00:00:00,1,N,49,5,16,M,1,3,R,R,,,,
