arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
2162836,8702136,2,0199005586,1999-02-24 00:00:00,1,N,48,5,20,M,1,2,R,,,,,
2163861,8705977,1,990000000190,1999-08-23 00:00:00,3,N,49,5,19,M,1,2,,,,,,
2163832,8705876,1,990000000242,1999-06-15 00:00:00,3,N,49,5,18,M,1,2,R,,,,,
2163831,8705876,4,990000000245,1999-06-14 00:00:00,3,N,49,5,23,M,1,2,R,,,,,
2163830,8705876,3,990000000244,1999-06-14 00:00:00,3,N,49,5,22,M,1,2,R,,,,,
2163829,8705876,2,990000000243,1999-06-14 00:00:00,3,N,49,5,18,F,1,2,R,,,,,
2163824,8705855,1,990000000241,1999-06-03 00:00:00,3,N,49,5,19,F,1,2,R,,,,,
2163821,8705843,1,990000000198,1999-06-22 00:00:00,3,N,49,5,19,M,1,2,R,,,,,
2163820,8705843,2,990000000240,1999-06-09 00:00:00,3,N,49,5,18,M,1,2,,,,,,
2163798,8705765,2,990000000150,1999-07-01 00:00:00,3,N,49,5,23,M,1,2,R,,,,,
2163797,8705765,1,990000000149,1999-07-01 00:00:00,3,N,49,5,22,M,1,2,R,,,,,
2163795,8705757,1,990000000075,1999-03-29 00:00:00,3,N,49,5,34,M,1,2,R,,,,,
2162673,8701512,1,1999006548,1999-11-23 00:00:00,3,C,49,5,19,M,1,2,R,,,,,
2162653,8701421,2,1999005905,1999-11-01 00:00:00,3,C,49,5,20,M,1,2,R,,,,,
2162619,8701290,1,1999004646,1999-09-07 00:00:00,3,C,49,5,27,M,1,2,R,,,,,
2162564,8701012,3,1999002136,1999-05-04 00:00:00,1,C,49,5,14,M,1,1,R,R,,,,
2162390,8700370,1,991472,1999-05-14 00:00:00,3,M,49,5,32,M,1,2,R,,,,,
2162384,8700349,1,991296,1999-05-10 00:00:00,3,N,49,5,16,M,1,2,R,R,,,,
2162361,8700291,1,990779,1999-05-24 00:00:00,3,M,49,5,23,M,1,2,N,,,,,
2163886,8706140,1,990000000314,1999-11-21 00:00:00,1,N,49,5,20,M,1,1,R,,,,,
2162421,8700460,2,992195,1999-07-09 00:00:00,1,N,49,5,16,M,1,2,R,H,,,,
2162420,8700460,1,992195,1999-07-09 00:00:00,1,N,49,5,16,M,1,2,N,H,,,,
2162536,8700883,1,1999001068,1999-03-06 00:00:00,3,C,49,5,24,M,1,2,R,,,,,
2162515,8700792,1,1999000137,1999-01-17 00:00:00,3,C,49,5,18,M,1,2,R,,,,,
2162484,8700681,1,993628,1999-10-25 00:00:00,3,N,49,5,19,M,1,2,U,,,,,
2163900,8706211,1,200000000108,2000-04-08 00:00:00,3,N,49,5,20,M,1,2,R,,,,,
2163899,8706208,1,200000000043,2000-02-28 00:00:00,3,N,49,5,19,M,1,2,R,,,,,
2163656,8705352,1,0199045215,1999-12-01 00:00:00,1,N,23,5,45,F,2,2,R,,,,,
2163654,8705341,1,0199045115,1999-11-30 00:00:00,1,N,23,5,38,M,2,2,R,,,,,
2163643,8705311,1,0199044647,1999-11-27 00:00:00,1,N,23,5,16,M,2,2,R,R,,,,
2163635,8705264,1,0199043950,1999-11-22 00:00:00,1,N,23,5,16,F,2,2,R,R,,,,
2163629,8705245,1,0199043718,1999-11-20 00:00:00,1,N,23,5,26,F,2,2,R,,,,,
2163621,8705211,1,0199043255,1999-11-17 00:00:00,1,N,23,5,14,M,2,2,R,R,,,,
2163608,8705168,1,0199042665,1999-11-13 00:00:00,1,N,23,5,49,M,2,2,R,,,,,
2163584,8705065,1,0199041230,1999-11-03 00:00:00,1,N,23,5,15,M,2,2,R,R,,,,
2163583,8705050,1,0199040992,1999-11-01 00:00:00,1,N,23,5,31,M,2,2,R,,,,,
2163540,8704845,1,0199038198,1999-10-14 00:00:00,1,N,23,5,10,M,2,2,R,R,,,,
2163539,8704844,1,0199038185,1999-10-14 00:00:00,1,N,23,5,35,M,2,2,N,,,,,
2163535,8704832,2,0199038041,1999-10-13 00:00:00,1,N,23,5,14,M,2,2,R,R,,,,
2163534,8704832,1,0199038041,1999-10-13 00:00:00,1,N,23,5,18,M,2,2,R,,,,,
2163520,8704775,1,0199037396,1999-10-09 00:00:00,1,N,23,5,15,M,2,2,R,R,,,,
2163509,8704752,1,0199036891,1999-10-06 00:00:00,1,N,23,5,19,F,2,2,R,,,,,
2163475,8704631,1,0199035470,1999-09-27 00:00:00,1,N,23,5,20,M,2,2,R,,,,,
2163471,8704604,1,0199035117,1999-09-25 00:00:00,1,N,23,5,39,M,2,2,R,,,,,
2163466,8704591,1,0199034970,1999-09-24 00:00:00,1,N,23,5,30,F,2,2,R,,,,,
2163464,8704588,1,0199034937,1999-09-24 00:00:00,1,N,23,5,18,M,2,2,R,,,,,
2163457,8704566,1,0199034635,1999-09-22 00:00:00,1,N,23,5,22,F,2,2,R,,,,,
2163449,8704538,1,0199034409,1999-09-20 00:00:00,1,N,23,5,26,F,2,2,R,,,,,
2163445,8704517,2,0199034074,1999-09-18 00:00:00,1,N,23,5,17,F,2,2,R,R,,,,
