arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
6980825,25788304,1,20040016027,2004-09-22 00:00:00,3,N,23,5,33,M,1,3,U,,,,,
6980824,25788298,1,20040016020,2004-09-22 00:00:00,3,N,23,5,22,F,1,3,U,,,,,
6980762,25787425,1,20040015584,2004-09-15 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6980757,25786733,1,20040015508,2004-09-14 00:00:00,3,N,23,5,21,F,1,3,U,,,,,
6980732,25786629,1,20040015352,2004-09-12 00:00:00,3,N,23,5,13,M,1,3,U,R,,,,
6980726,25786613,1,20040015317,2004-09-11 00:00:00,3,N,23,5,20,M,1,3,U,,,,,
6980714,25785917,1,20040015245,2004-09-10 00:00:00,3,N,23,5,17,M,1,3,U,R,,,,
6980673,25785049,2,20040014844,2004-09-03 00:00:00,3,N,23,5,34,F,1,3,U,,,,,
6980672,25785049,1,20040014844,2004-09-03 00:00:00,3,N,23,5,35,F,1,3,U,,,,,
6980667,25785016,1,20040014789,2004-09-02 00:00:00,3,N,23,5,15,M,1,3,U,R,,,,
6980666,25785010,1,20040014781,2004-09-02 00:00:00,3,N,23,5,39,M,1,3,U,,,,,
6980636,25784190,1,20040014472,2004-08-27 00:00:00,3,N,23,5,28,M,1,3,U,,,,,
6980629,25783511,1,20040014420,2004-08-26 00:00:00,3,N,23,5,25,M,1,3,U,,,,,
6980619,25783485,1,20040014371,2004-08-25 00:00:00,3,N,23,5,55,M,1,3,U,,,,,
6980568,25782567,1,20040013730,2004-08-16 00:00:00,3,N,23,5,22,M,1,3,U,,,,,
6980567,25782558,2,20040013711,2004-08-16 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6980566,25782558,1,20040013711,2004-08-16 00:00:00,3,N,23,5,19,F,1,3,U,,,,,
6980549,25781764,1,20040013438,2004-08-12 00:00:00,3,N,23,5,29,F,1,3,U,,,,,
6980529,25780973,1,20040013190,2004-08-08 00:00:00,3,N,23,5,29,F,1,3,U,,,,,
6981554,23951701,1,20040022052,2004-12-31 00:00:00,3,N,23,5,19,M,1,3,U,,,,,
6981546,23951680,2,20040022017,2004-12-30 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6981539,23951644,1,20040021951,2004-12-29 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6981532,23951603,1,20040021877,2004-12-28 00:00:00,3,N,23,5,16,M,1,3,U,R,,,,
6981531,23951603,2,20040021877,2004-12-28 00:00:00,3,N,23,5,14,M,1,3,U,R,,,,
6981513,23950905,1,20040021765,2004-12-26 00:00:00,3,N,23,5,15,F,1,3,U,R,,,,
6981512,23950898,1,20040021757,2004-12-26 00:00:00,3,N,23,5,43,F,1,3,U,,,,,
6981511,23950895,1,20040021749,2004-12-26 00:00:00,3,N,23,5,13,M,1,3,U,R,,,,
6981502,23950859,1,20040021689,2004-12-24 00:00:00,3,N,23,5,35,M,1,3,U,,,,,
6980487,25780142,3,20040012865,2004-08-02 00:00:00,3,N,23,5,13,M,1,3,U,R,,,,
6980486,25780142,2,20040012865,2004-08-02 00:00:00,3,N,23,5,15,M,1,3,U,R,,,,
6980485,25780142,1,20040012865,2004-08-02 00:00:00,3,N,23,5,13,M,1,3,U,R,,,,
6980469,25779401,1,20040012719,2004-07-30 00:00:00,3,N,23,5,20,F,1,3,U,,,,,
6980466,25779395,1,20040012706,2004-09-17 00:00:00,3,N,23,5,38,M,1,3,U,,,,,
6980455,25779335,1,20040012611,2004-07-28 00:00:00,3,N,23,5,21,F,1,3,U,,,,,
6981491,23950812,1,20040021625,2004-12-22 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6981490,23950812,2,20040021625,2004-12-22 00:00:00,3,N,23,5,21,F,1,3,U,,,,,
6981483,23950109,2,20040021527,2004-12-19 00:00:00,3,N,23,5,19,F,1,3,U,,,,,
6981482,23950109,1,20040021527,2004-12-19 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6981469,23950055,1,20040021436,2004-12-19 00:00:00,3,N,23,5,13,M,1,3,U,R,,,,
6981459,23950012,1,20040021357,2004-12-17 00:00:00,3,N,23,5,14,M,1,3,U,H,,,,
6981458,23950006,1,20040021339,2004-12-17 00:00:00,3,N,23,5,24,M,1,3,U,,,,,
6981452,23949978,1,20040021258,2004-12-15 00:00:00,3,N,23,5,48,F,1,3,U,,,,,
6980439,25778603,2,20040012474,2004-07-26 00:00:00,3,N,23,5,35,F,1,3,U,,,,,
6980438,25778603,1,20040012474,2004-07-26 00:00:00,3,N,23,5,19,F,1,3,U,,,,,
6980435,25778597,2,20040012466,2004-07-26 00:00:00,3,N,23,5,25,F,1,3,U,,,,,
6980434,25778597,1,20040012466,2004-07-26 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6980409,25777835,1,20040012180,2004-07-23 00:00:00,3,N,23,5,42,M,1,3,U,,,,,
6980408,25777824,1,20040012154,2004-07-22 00:00:00,3,N,23,5,26,F,1,3,U,,,,,
6980397,25777759,1,20040012015,2004-07-20 00:00:00,3,N,23,5,25,F,1,3,U,,,,,
6980394,25777741,1,20040011988,2004-07-20 00:00:00,3,N,23,5,27,M,1,3,U,,,,,
6981419,23949192,1,20040020967,2004-12-11 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6981413,23949174,1,20040020921,2004-12-10 00:00:00,3,N,23,5,29,M,1,3,U,,,,,
6981412,23949174,2,20040020921,2004-12-10 00:00:00,3,N,23,5,21,F,1,3,U,,,,,
6981402,23948492,1,20040020859,2004-12-09 00:00:00,3,N,23,5,14,M,1,3,U,R,,,,
6981382,23948404,1,20040020661,2004-12-06 00:00:00,3,N,23,5,13,M,1,3,U,R,,,,
6981379,23948377,1,20040020603,2004-12-05 00:00:00,3,N,23,5,31,M,1,3,U,,,,,
6981370,23948347,1,20040020548,2004-12-04 00:00:00,3,N,23,5,30,M,1,3,U,,,,,
6981369,23948347,2,20040020548,2004-12-04 00:00:00,3,N,23,5,21,F,1,3,U,,,,,
6980367,25776924,1,20040011730,2004-07-15 00:00:00,3,N,23,5,36,M,1,3,U,,,,,
6980364,25776913,1,20040011710,2004-07-15 00:00:00,3,N,23,5,43,F,1,3,U,,,,,
6980324,25776069,1,20040011380,2004-07-16 00:00:00,3,N,23,5,25,F,1,3,U,,,,,
6981360,23947637,1,20040020414,2004-12-02 00:00:00,3,N,23,5,19,F,1,3,U,,,,,
6981331,23946830,1,20040020142,2004-11-27 00:00:00,3,N,23,5,15,M,1,3,U,H,,,,
6981330,23946820,1,20040020126,2004-11-27 00:00:00,3,N,23,5,16,M,1,3,U,H,,,,
6981317,23946755,1,20040020005,2004-11-24 00:00:00,3,N,23,5,29,F,1,3,U,,,,,
6981312,23946724,1,20040019946,2004-11-23 00:00:00,3,N,23,5,32,F,1,3,U,,,,,
6981302,23946012,2,20040019828,2004-11-21 00:00:00,3,N,23,5,16,M,1,3,U,R,,,,
6981301,23946012,1,20040019828,2004-11-21 00:00:00,3,N,23,5,14,M,1,3,U,R,,,,
6980321,25776066,1,20040011370,2004-07-10 00:00:00,3,N,23,5,23,M,1,3,U,,,,,
6980312,25776058,2,20040011354,2004-07-09 00:00:00,3,N,23,5,15,M,1,3,U,R,,,,
6980310,25775405,1,20040011350,2004-07-09 00:00:00,3,N,23,5,39,M,1,3,U,,,,,
6980305,25775383,1,20040011312,2004-07-09 00:00:00,3,N,23,5,25,M,1,3,U,,,,,
6980276,25774566,1,20040010970,2004-07-03 00:00:00,3,N,23,5,20,F,1,3,U,,,,,
6980260,25774493,1,20040010835,2004-07-01 00:00:00,3,N,23,5,28,M,1,3,U,,,,,
6981295,23945984,1,20040019782,2004-11-20 00:00:00,3,N,23,5,34,M,1,3,U,,,,,
6981241,23945118,1,20040019349,2004-11-13 00:00:00,3,N,23,5,22,M,1,3,U,,,,,
6980255,25773792,2,20040010741,2004-06-29 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6980254,25773792,1,20040010741,2004-06-29 00:00:00,3,N,23,5,31,F,1,3,U,,,,,
6980253,25773769,2,20040010692,2004-06-29 00:00:00,3,N,23,5,28,F,1,3,U,,,,,
6980252,25773769,1,20040010692,2004-06-29 00:00:00,3,N,23,5,42,M,1,3,U,,,,,
6980241,25773723,1,20040010619,2004-06-27 00:00:00,3,N,23,5,27,F,1,3,U,,,,,
6944585,26021355,1,04011580,2004-11-22 00:00:00,3,N,23,5,18,M,1,1,U,,,,,
6943526,26006850,1,04004708,2004-06-30 00:00:00,3,N,23,5,23,M,1,1,U,,,,,
6943497,26006785,1,04004547,2004-05-17 00:00:00,3,N,23,5,12,M,1,1,U,H,,,,
6943495,26006783,1,04004545,2004-05-17 00:00:00,3,N,23,5,15,M,1,1,U,H,,,,
6943412,26005236,1,04003997,2004-05-05 00:00:00,3,N,23,5,15,M,1,1,U,H,,,,
6943353,26004374,1,04003530,2004-04-18 00:00:00,3,N,23,5,18,M,1,1,U,,,,,
6945191,26028675,1,0104005693,2004-07-01 00:00:00,3,N,23,5,48,M,1,1,N,,,,,
6945052,26027745,1,0104002878,2004-08-16 00:00:00,3,N,23,5,34,F,1,1,R,,,,,
6943986,26014087,1,04008043,2004-08-19 00:00:00,3,N,23,5,22,F,1,1,U,,,,,
6962933,25671516,2,9049382312,2004-06-01 00:00:00,3,N,23,5,35,F,1,1,U,,,,,
6983648,24000993,1,A04-0939,2004-10-12 00:00:00,3,N,23,5,22,F,1,1,R,,,,,
6984556,24011576,1,000403213001,2004-12-06 00:00:00,3,N,23,5,29,M,1,1,N,,,,,
6983535,23999382,1,A05-0324,2005-03-31 00:00:00,3,N,23,5,18,F,1,1,R,,,,,
6984426,24010680,2,000402487802,2004-08-07 00:00:00,3,N,23,5,19,F,1,1,R,,,,,
6980240,25773723,2,20040010619,2004-06-27 00:00:00,3,N,23,5,13,F,1,3,U,R,,,,
6980224,25772984,1,20040010451,2004-06-24 00:00:00,3,N,23,5,34,F,1,3,U,,,,,
6980204,25772161,1,20040010142,2004-06-19 00:00:00,3,N,23,5,14,F,1,3,U,R,,,,
6981230,23944439,1,20040019297,2004-11-12 00:00:00,3,N,23,5,39,M,1,3,U,,,,,
6981216,25796880,1,20040019149,2004-11-10 00:00:00,3,N,23,5,20,F,1,3,U,,,,,
6981215,25796879,1,20040019147,2004-11-09 00:00:00,3,N,23,5,38,F,1,3,U,,,,,
6981203,25796833,1,20040019041,2004-11-08 00:00:00,3,N,23,5,55,F,1,3,U,,,,,
6981193,25795493,1,20040018924,2004-11-06 00:00:00,3,N,23,5,43,M,1,3,U,,,,,
6981191,25795486,1,20040018912,2004-11-06 00:00:00,3,N,23,5,13,F,1,3,U,R,,,,
6981188,25795479,1,20040018900,2004-11-06 00:00:00,3,N,23,5,55,F,1,3,U,,,,,
6981183,25795459,1,20040018870,2004-11-05 00:00:00,3,N,23,5,27,F,1,3,U,,,,,
6980180,25772031,1,20040009896,2004-06-15 00:00:00,3,N,23,5,23,F,1,3,U,,,,,
6980179,25772031,2,20040009896,2004-06-15 00:00:00,3,N,23,5,23,F,1,3,U,,,,,
6980178,25771384,1,20040009895,2004-06-15 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6980168,25771282,1,20040009692,2004-06-05 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6980167,25771282,2,20040009692,2004-06-05 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6980153,25770574,1,20040009572,2004-06-10 00:00:00,3,N,23,5,14,F,1,3,U,H,,,,
6981131,25794597,2,20040018477,2004-10-30 00:00:00,3,N,23,5,26,M,1,3,U,,,,,
6981128,25794591,1,20040018467,2004-10-30 00:00:00,3,N,23,5,16,F,1,3,U,R,,,,
6980120,25769686,1,20040009123,2004-06-02 00:00:00,3,N,23,5,33,F,1,3,U,,,,,
6980114,25769641,1,20040009025,2004-06-01 00:00:00,3,N,23,5,40,M,1,3,U,,,,,
6980106,25768966,1,20040008971,2004-05-31 00:00:00,3,M,23,5,20,F,1,3,U,,,,,
6980105,25768965,1,20040008970,2004-05-31 00:00:00,3,C,23,5,20,F,1,3,U,,,,,
6980103,25768952,2,20040008945,2004-05-31 00:00:00,3,N,23,5,30,F,1,3,U,,,,,
6980102,25768952,1,20040008945,2004-05-31 00:00:00,3,N,23,5,37,M,1,3,U,,,,,
6980096,25768923,2,20040008893,2004-05-30 00:00:00,3,N,23,5,30,M,1,3,U,,,,,
6980082,25768826,2,20040008735,2004-05-22 00:00:00,3,N,23,5,13,F,1,3,U,R,,,,
6980081,25768826,1,20040008735,2004-05-22 00:00:00,3,N,23,5,33,F,1,3,U,,,,,
6980080,25768167,1,20040008714,2004-05-27 00:00:00,3,N,23,5,20,F,1,3,U,,,,,
6980077,25768142,2,20040008663,2004-05-26 00:00:00,3,N,23,5,17,M,1,3,U,R,,,,
6980076,25768142,1,20040008663,2004-05-26 00:00:00,3,N,23,5,15,M,1,3,U,R,,,,
6980075,25768136,1,20040008653,2004-05-26 00:00:00,3,N,23,5,32,M,1,3,U,,,,,
6981091,25793792,2,20040018184,2004-10-26 00:00:00,3,N,23,5,17,M,1,3,U,R,,,,
6981090,25793792,1,20040018184,2004-10-26 00:00:00,3,N,23,5,18,F,1,3,U,,,,,
6981061,25793041,1,20040018003,2004-10-23 00:00:00,3,N,23,5,27,F,1,3,U,,,,,
6981054,25793015,1,20040017933,2004-10-22 00:00:00,3,N,23,5,21,F,1,3,U,,,,,
6981039,25792950,1,20040017810,2004-10-21 00:00:00,3,N,23,5,32,M,1,3,U,,,,,
6980057,25768027,1,20040008443,2004-05-30 00:00:00,3,N,23,5,33,M,1,3,U,,,,,
6980026,25767248,1,20040008212,2004-05-19 00:00:00,3,N,23,5,31,M,1,3,U,,,,,
6980015,25766555,2,20040008117,2004-05-18 00:00:00,3,N,23,5,20,F,1,3,U,,,,,
6980014,25766555,1,20040008117,2004-05-18 00:00:00,3,N,23,5,22,F,1,3,U,,,,,
6980004,25766515,1,20040008050,2004-05-17 00:00:00,3,N,23,5,30,M,1,3,U,,,,,
6981029,25792240,1,20040017688,2004-10-19 00:00:00,3,N,23,5,20,F,1,3,U,,,,,
6981028,25792240,2,20040017688,2004-10-19 00:00:00,3,N,23,5,19,F,1,3,U,,,,,
6981002,25792145,1,20040017494,2004-10-16 00:00:00,3,N,23,5,18,M,1,3,U,,,,,
6981001,25792145,2,20040017494,2004-10-16 00:00:00,3,N,23,5,21,M,1,3,U,,,,,
6981000,25792144,1,20040017492,2004-10-16 00:00:00,3,N,23,5,32,F,1,3,U,,,,,
6980998,25792125,1,20040017454,2004-10-15 00:00:00,3,N,23,5,32,F,1,3,U,,,,,
